source,auctioneer,sale date,sale time,county,address,deposit,status,ad link
DR,DR,09/30/2026,,Baltimore City,"906 & 935 Saint Paul Street, Baltimore, MD 21202","$75,000",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212269
DR,DR,09/30/2026,,Baltimore City,"921 & 923 Saint Paul Street, Baltimore, MD 21202","$75,000",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212274
DR,DR,09/30/2026,,Baltimore City,"1114 Saint Paul Street, Baltimore, MD 21202","$75,000",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212277
DR,DR,10/01/2026,1:30 PM,Baltimore County,"1135 Saffell Road, Reisterstown, MD 21136",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4211981
DR,DR,10/01/2026,11:30 AM,Baltimore City,"2806 Ellicott Drive, Baltimore, MD 21216",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4211984
DR,DR,10/01/2026,1:30 PM,Baltimore County,"3049 California Avenue, Parkville, MD 21234",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4211987
DR,DR,10/01/2026,11:30 AM,Baltimore City,"3211 East Northern Parkway, Baltimore, MD 21214",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4211990
DR,DR,10/01/2026,11:30 AM,Baltimore City,"3232 Elmley Avenue, Baltimore, MD 21213",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4211991
DR,DR,10/01/2026,1:30 PM,Baltimore County,"3847 Brownhill Rd, Randallstown, MD 21133",SEE AD,Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4211993
DR,DR,09/29/2026,,Baltimore County,"214 Cranbrook Road, Cockeysville, MD 21030","$15,000",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212150
DR,DR,09/29/2026,,Baltimore City,"601 N East Ave, Baltimore, MD 21205","$12,500",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212151
DR,DR,09/29/2026,,Baltimore City,"1203 W Cross Street, Baltimore, MD 21230","$9,000",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212152
DR,DR,09/29/2026,,Baltimore City,"3707 Howard Park Ave, Baltimore, MD 21207","$11,500",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212154
DR,DR,09/29/2026,,Baltimore County,"7251 Conley St, Baltimore, MD 21224","$12,000",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212155
DR,DR,09/29/2026,,Baltimore City,"1816 Swansea Rd, Baltimore, MD 21239","$7,000",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4212156
DR,DR,09/29/2026,,Baltimore City,"6954 Reisterstown Rd, Baltimore, MD 21215","$8,500",Active,https://thedailyrecord.com/public-notice/search-detail?indexgroup=real_estate&detail=4211634
