source,auctioneer,sale date,sale time,county,address,deposit,status,ad link
AC,AC,10/06/2026,9:26 AM,Anne Arundel County,"379 Clover Court, Glen Burnie, 21060","$19,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DGJNMH%2Fauctionmobility-tenant-private%2FYNIx-1-EGQL%2Fdocuments%2F528579.pdf
AC,AC,10/06/2026,9:28 AM,Anne Arundel County,"2218 Noble Way, Gambrills, 21054","$39,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DGJNJN%2Fauctionmobility-tenant-private%2Fdomh-1-EGQL%2Fdocuments%2F528710.pdf
AC,AC,10/06/2026,9:30 AM,Anne Arundel County,"113 Dorsey Drive, Edgewater, 21037","$17,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DGJNLE%2Fauctionmobility-tenant-private%2FIJkG-1-EGQL%2Fdocuments%2F528748.pdf
AC,AC,10/06/2026,9:32 AM,Anne Arundel County,"2 Gentry Court, Annapolis, 21403","$11,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DGJNJX%2Fauctionmobility-tenant-private%2F6KYP-1-EGQL%2Fdocuments%2F528711.pdf
AC,AC,10/06/2026,9:34 AM,Anne Arundel County,"1154 Jeffrey Drive, Crofton, 21114","$10,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DGJNK7%2Fauctionmobility-tenant-private%2F0z7B-1-EGQL%2Fdocuments%2F528712.pdf
AC,AC,10/06/2026,1:30 PM,Charles County,"5450 Mason Springs Road, Indian Head, 20640","$33,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DGJNPX%2Fauctionmobility-tenant-private%2FvbQx-1-EGQL%2Fdocuments%2F528731.pdf
AC,AC,10/06/2026,1:35 PM,Charles County,"11215 Heron Place, Unit C, Waldorf, 20603","$7,000 → 10%",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DGJNRM%2Fauctionmobility-tenant-private%2FibsY-1-EGQL%2Fdocuments%2F528541.pdf
AC,AC,10/06/2026,1:00 PM,Dorchester County,"303 Bayly Avenue, Cambridge, 21613","$17,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DGJNQS%2Fauctionmobility-tenant-private%2FunKH-1-EGQL%2Fdocuments%2F528444.pdf
AC,AC,10/06/2026,11:00 AM,Prince George's County,"5201 Hil Mar Drive, District Heights, 20747","$9,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DGJNQH%2Fauctionmobility-tenant-private%2F48yc-1-EGQL%2Fdocuments%2F528593.pdf
AC,AC,10/06/2026,11:05 AM,Prince George's County,"822 Faraway Court, Bowie, 20721","$30,000",Active,https://realestate.alexcooper.com/direct-download-document?url=https%3A%2F%2Fproduction2-server.auctionmobility.com%2Fv1%2Fdocument%2F1-EGQL%2F1-DGJNRC%2Fauctionmobility-tenant-private%2FyyNB-1-EGQL%2Fdocuments%2F528552.pdf
